fips,state,county,deaths_under_75,years_pot_life_lost_rate,pct_poor_health,pct_uninsured,prev_hospitalization_rate,labor_force,pct_unemployed,pct_child_poverty,income_ratio,pct_sev_housing_problems,life_exectancy,premature_mortality,pct_obese_adults,pct_smokers,child_mortality_rate,infant_mortality_rate,drug_overdose_death,pct_discon_youth,ave_grade_performance_reading,ave_grade_performance_math,school_funding_adequacy,gender_pay_gap,pct_voter_turnout,pct_homeowners,school_segregation_index,pct_rural
'01000,Alabama,NA,102760,11853.247248,21.8,10.488726807,3327,2308142,2.4982431757,21.3,5.1673051842,13.08234169,73.279289325,568.65846838,38.4,16.2,72.718473131,7.4917098928,3929,7.5718834691,2.828865,2.648874,-5074.497,0.7478229933,62.63600041,69.933396137,57.708674012,42.262760488
'01001,Alabama,Autauga,1008,9938.2633823,17.7,8.1903607154,4365,27000,2.1888888889,17,4.2737120382,13.520933425,74.800645825,491.52206077,38.4,15.4,61.255742726,7.3808519612,19,NA,3.146095,2.94571,-2319.66,0.7068798934,66.18207817,74.910091906,33.959313559,40.676813196
'01003,Alabama,Baldwin,3944,8957.1126859,17,10.212342054,2888,104409,2.2794969782,14.1,4.3595257111,11.96811561,76.580109234,416.8761308,36.8,14.7,50.158297747,5.389366598,226,8.0544576197,3.095679,2.930823,506.3,0.7219864574,65.290948597,77.535343716,42.652639752,37.586455362
'01005,Alabama,Barbour,587,12738.656137,28.4,12.117041647,3560,7944,4.4310171198,34.8,5.6143391098,13.806380638,72.708991709,629.20654916,43.8,21.9,71.707076592,NA,12,NA,2.203485,1.959501,-17790.455,0.7703420203,54.021571649,67.488986784,22.729419623,65.919993657
'01007,Alabama,Bibb,509,11708.948038,25.1,10.835798817,5029,8772,2.462380301,21.4,5.3467271211,11.926605505,72.977378514,621.15946924,41.4,21.8,87.076781232,NA,18,NA,2.707032,2.24066,-3657.8,0.8228262047,54.563548479,77.17606657,40.009999037,100
'01009,Alabama,Blount,1273,11898.088409,22.6,12.515582149,2099,25836,2.1442947825,16.6,4.6197221786,10.258215962,72.936172299,583.01102033,37.3,19.5,58.036323911,8.0457336439,42,5.4830287206,2.821849,2.630106,-1559.425,0.8129917054,64.187994416,79.505847022,64.885650697,90.489396963
'01011,Alabama,Bullock,251,15998.089209,34.9,11.409090909,4377,4500,2.3777777778,39.8,6.8069917504,12.719298246,70.96745637,693.67332121,49.4,24.9,NA,NA,NA,NA,2.04144,2.187617,-27966.27,0.7815950303,59.065300896,63.509991312,34.304478375,100
'01013,Alabama,Butler,497,14616.39262,26,10.380404267,3956,9009,2.9193029193,37.4,5.2137173366,9.8774885145,71.541917066,697.88518068,45.5,20.4,69.877445711,NA,12,NA,2.4592,2.151304,-11647.55,0.7677250795,62.917771883,68.410906086,27.610231572,69.434675345
'01015,Alabama,Calhoun,2916,14259.564795,21.5,11.833342692,3587,45540,2.8194993412,28.5,4.8695115258,12.371599503,70.813154873,692.55471872,38.3,18,60.662830635,6.6831949984,116,7.3282855598,2.975729,2.8132,-6896.99,0.7995795911,57.856332274,70.386703601,46.161317737,36.49401843
'01017,Alabama,Chambers,824,12568.860637,26.7,12.738072428,3244,16272,2.3844641101,26,5.0998743403,15.2,71.861783224,613.52825634,45.4,20.9,95.041457739,9.0157776108,12,NA,2.588949,2.433826,-22570.905,0.6801478373,58.525751484,70.988896341,30.560945315,50.74485218
'01019,Alabama,Cherokee,702,12680.903028,19.5,13.254151776,3981,11854,2.3958157584,20.5,4.5494250824,8.5139318885,72.395529183,636.45289725,40.2,17.6,56.665250035,NA,15,NA,2.710662,2.496581,709.97,0.8492781852,59.511369134,79.450224301,40.165346512,100
'01021,Alabama,Chilton,1036,11802.63262,19.6,13.181745482,2652,20293,2.1928743902,21.5,4.012359927,12.862318841,72.70685113,621.4397907,36.3,15.5,60.048467692,NA,34,17.763509898,2.80374,2.676496,-3496.42,0.7037769186,59.506933744,76.831491398,42.699401924,85.544497268
'01023,Alabama,Choctaw,301,12977.181714,26.5,11.16294207,2911,4221,4.003790571,35.8,5.5445040072,13.627639155,73.06127106,593.69555141,45.8,20.8,NA,NA,NA,NA,2.455361,2.031269,-16030.77,0.6125272885,73.284241532,82.218786239,31.009319552,100
'01025,Alabama,Clarke,610,16382.035791,26.2,11.481288681,2715,7591,4.9927545778,28.7,5.6037895181,12,69.949889441,733.15035615,44.4,20.5,119.07487978,NA,10,NA,2.687366,2.530348,-11989.505,0.6650819285,70.297029703,70.918125887,17.830001091,100
'01027,Alabama,Clay,344,13312.804786,24.6,10.556309362,2579,5945,2.3549201009,25,4.8560251103,10.092592592999999,71.851139548,634.82982198,39.6,21.5,NA,NA,NA,NA,2.56716,2.359525,-4227.11,0.8774664107,66.411116435,77.692974848,28.244571572,100
'01029,Alabama,Cleburne,362,12586.014576,23.1,12.387295914,3879,6205,2.2723609992,21.7,4.6473267495,8.3035714286,72.100332749,627.19255798,39.4,20.8,93.639221457,NA,NA,NA,2.9649200000000002,2.859187,261.93,0.8127685009,63.145478375,80.047871431,52.541408971,100
'01031,Alabama,Coffee,1025,10338.895023,19.5,11.5180798,3229,21781,2.5067719572,21,5.2417204662,11.401367188,74.199504456,528.95134402,34.1,14.6,64.922183549,4.5523520486,17,NA,3.009222,2.876749,-5510.55,0.6277910846,57.210735842,69.232981783,43.226764756,47.530159918
'01033,Alabama,Colbert,1285,12369.517136,21.5,10.688737678,3801,24063,2.9422765241,20.5,4.6638112921,10.711130742,73.022425449,597.29030678,40.9,18.8,73.203621653,7.5017049329,33,NA,2.815832,2.709634,-4385.045,0.7207186876,64.828548181,70.801503076,28.075315019,40.295664634
'01035,Alabama,Conecuh,350,18927.733282,26.4,10.57656996,8851,4259,3.5454332003,43.1,5.3343410267,6.3321385902,68.961085989,797.82638627,44.7,19.8,164.25120773,NA,11,NA,2.374936,2.157662,-25715.25,0.6661590723,66.608066184,74.933745583,15.552614014,100
'01037,Alabama,Coosa,272,14409.561567,23.7,9.4940152339,2166,4549,2.5500109914,28,4.0035175691,6.6666666667,72.230535629,628.64883669,42.8,20.3,NA,NA,NA,NA,2.56185,2.407654,-8716.43,0.5778944381,61.70045045,81.313972864,55.524936733,100
'01039,Alabama,Covington,1071,14664.189369,21.8,11.034482759,5148,14872,2.7434104357,22.4,5.6305395739,11.85729276,70.640113875,730.8727308,44.6,18.9,72.900602832,6.7046597385,25,NA,2.924567,2.610653,-4252.116667,0.7311339655,60.342738446,75.715764057,41.034034664000004,68.815544317
'01041,Alabama,Crenshaw,383,13951.809024,23.6,13.140311804,2631,6160,2.6623376623,27.1,5.7584695098,10.418904404,70.418927021,730.92305424,40.3,20,NA,NA,NA,19.882179676,2.812624,2.658651,-5180.06,0.7761343547,62.51299008,74.206896552,26.426967875,100
